Pozo,dAIC_Modelo_B,dAIC_Modelo_C,dAIC_Modelo_D,dAIC_Modelo_E
1024,0.285363852616797,2.0315378582117773,,0.0
1028,251.52948351386476,115.89122633024999,,0.0
2018,19.127914545040085,8.008972658242214,,0.0
2037,9.68493565059714,1.238382906084098,,0.0
BA-17,15.651338814462065,0.0,,13.625943415386246
BA-18,14.449270745154308,16.96583153097879,,0.0
BA-19,0.31039734479179515,7.448251301264463,,0.0
BA-20,9.970181722691564,0.0,,14.958433736863526
BA-21,13.268221300595428,2.8560352703638046,,0.0
BA-22,3.983825320992537,0.0,,10.958500887096534
BA-23,20.391736416795993,14.337775117552155,,0.0
BA-28,38.22466913856795,0.0,,39.807147677388116
BA-30,3.3162084418197537,0.0,,1.6679988800975707
E1,0.0,3.467241474426146,,36.69566255426332
E2,0.0,46.12670333817505,,55.66164092206145
E3,55.14546032895987,0.0,,53.42562432019383
E4,0.0,12.231372200444525,,4.901087792865155
ES-11,34.75163308498725,0.0,,24.150590012421276
GD-03,12.421580939568344,43.23335324527238,,0.0
GD-04,0.0,2.427059264195009,,7.739784649092712
L10-1,182.6569493514786,118.90961708778059,,0.0
L10-10,0.0,1.4973720364758947,,32.770660417223326
L10-11,155.51428984505765,40.145575905860824,,0.0
L10-12,9.113587582153286,16.99410303237312,,0.0
L10-13,35.17853009442911,26.020852574315313,,0.0
L10-14,0.20828931821540664,0.0,,9.788710029413664
L10-15,20.431964336366832,25.274303844701308,,0.0
L10-16,5.572478246132846,5.848822938379271,,0.0
L10-17,2.842021945788133,1.2487298841109578,,0.0
L10-2,3.855705211494069,0.0,,18.995969121092344
L10-3,64.30453915736041,17.309465136737458,,0.0
L10-4,351.6202729048164,0.0,,276.8764155581666
L10-5,37.246055761156754,27.501333145599688,,0.0
L10-6,15.14880992467647,18.42649272822848,,0.0
L10-7,1.594742688818883,0.0,,3.230356096673404
L10-8,14.444468931585448,21.510295379762965,,0.0
L10-9,45.98521750447844,58.95334659308253,,0.0
LM-05,29.5412676342155,0.0,,11.262564055990367
LM-06,8.787462030531628,9.539057350699068,,0.0
LM-07,4.326800663330687,0.0,,13.908371300601743
LM-08,9.04983148435656,10.596386960521045,,0.0
LM-09,8.279172138974445,26.92622709899217,,0.0
LM-10,0.0,19.93764425270149,,20.138915981250534
LM-17,33.45590016320557,18.785597809069003,,0.0
MP-07A,39.97954750026918,0.0,,11.294171606794066
MP-07C-1,66.28880019914334,0.0,,9.012783949614459
MP-08A,34.76070507392694,0.0,,31.670040255630965
MPS-AA,37.973704770254244,0.0,,20.70329325445391
MPS-AB,2.1358606765076047,3.259466493149148,,0.0
MPS-AC,9.819202132960982,0.0,,9.760349126819733
MPS-CA,20.66639994638092,12.237097120455473,,0.0
MPS-CB,7.546854628582537,0.0,,26.63031955212648
MPS-CC,6.021438190537538,16.901245698290154,,0.0
PN-03,0.0,2.2491127373383506,,6.63540313038493
PN-04,0.0,7.391250612642807,,4.483748683851559
PN-07,31.2221944567126,0.0,,4.382608376156099
PN-08A,5.33245658420401,0.0,,7.086872815006473
PN-09,15.683855274321559,2.661738867027225,,0.0
PP-01,26.027658086171982,0.0,,63.968351328204335
PP-03,22.21287982293086,0.0,,48.01921998055661
REGLILLA INTERNA CONAF,36.98316151043609,0.0,,55.16703773437631
REGLILLA SALADA CONAF,28.169377202616943,0.0,,7.7986611220450754
REGLILLA SALADITA CONAF,0.0,12.869688451097886,,69.62645518193995
Zanja Camino a Peine,24.91455369750463,13.67586493848512,,0.0
