Fecha,Pozo GD-04
04/09/2007,1.065
01/10/2007,1.06
29/10/2007,1.051
05/12/2007,1.07
27/12/2007,1.075
31/01/2008,1.045
02/03/2008,1.082
30/03/2008,1.087
03/05/2008,1.108
28/05/2008,1.116
25/06/2008,1.13
04/08/2008,1.155
25/08/2008,1.148
01/10/2008,1.138
26/10/2008,1.136
30/11/2008,1.146
29/12/2008,1.15
27/01/2009,1.14
26/02/2009,1.154
21/03/2009,1.155
16/04/2009,1.15
18/05/2009,1.163
25/06/2009,1.188
23/07/2009,1.181
18/08/2009,1.177
25/09/2009,1.164
19/10/2009,1.156
24/11/2009,1.14
24/11/2009,
25/11/2009,1.137
25/12/2009,1.136
23/01/2010,1.141
27/02/2010,1.124
29/03/2010,1.13
25/04/2010,1.15
24/05/2010,1.178
18/06/2010,1.198
24/07/2010,1.215
23/08/2010,1.202
24/09/2010,1.221
21/10/2010,1.227
22/11/2010,1.206
24/12/2010,1.245
22/01/2011,1.254
25/02/2011,1.265
24/03/2011,1.283
24/04/2011,1.272
28/05/2011,1.321
24/06/2011,1.313
22/07/2011,1.328
23/08/2011,1.332
24/09/2011,1.329
19/10/2011,1.341
23/11/2011,1.341
19/12/2011,1.353
23/01/2012,1.358
27/02/2012,1.163
25/03/2012,1.176
25/04/2012,1.2
22/05/2012,1.236
19/06/2012,1.241
24/07/2012,1.253
25/08/2012,1.258
21/09/2012,1.255
30/10/2012,1.256
19/11/2012,1.265
17/12/2012,1.274
19/01/2013,1.277
23/02/2013,1.021
21/03/2013,1.05
28/04/2013,1.08
26/05/2013,1.026
30/05/2013,1.03
30/05/2013,
23/06/2013,1.048
22/07/2013,1.036
23/08/2013,1.067
26/09/2013,1.066
24/10/2013,1.092
21/11/2013,1.116
21/12/2013,1.132
22/01/2014,1.161
24/02/2014,1.195
25/03/2014,1.215
23/04/2014,1.244
22/05/2014,1.274
23/06/2014,1.314
18/07/2014,1.335
21/08/2014,1.352
24/09/2014,1.343
17/10/2014,1.356
20/11/2014,1.37
29/12/2014,1.387
29/01/2015,1.396
16/03/2015,1.389
29/04/2015,1.01
19/05/2015,1.06
26/06/2015,1.125
31/07/2015,1.2
27/08/2015,1.201
25/09/2015,1.195
30/10/2015,1.208
28/11/2015,1.226
29/12/2015,1.24
29/01/2016,1.271
26/02/2016,1.291
27/03/2016,1.327
28/04/2016,1.358
29/05/2016,1.394
15/06/2016,1.404
23/07/2016,1.428
26/08/2016,1.425
26/09/2016,1.435
26/10/2016,1.45
26/11/2016,1.463
26/12/2016,1.481
26/01/2017,1.475
25/02/2017,1.173
26/03/2017,
26/04/2017,
26/05/2017,
26/06/2017,
26/07/2017,
26/08/2017,
26/09/2017,1.284
26/10/2017,1.3
28/11/2017,1.313
26/12/2017,1.33
26/01/2018,1.364
26/02/2018,1.391
26/03/2018,1.409
26/04/2018,1.432
26/05/2018,1.463
26/06/2018,
26/07/2018,
21/08/2018,
26/08/2018,
26/09/2018,
26/10/2018,
26/11/2018,
26/12/2018,
26/01/2019,
26/02/2019,
26/03/2019,
26/04/2019,
26/05/2019,
28/06/2019,
26/07/2019,
26/08/2019,
26/09/2019,
26/10/2019,
26/11/2019,
26/12/2019,
26/01/2020,
26/02/2020,
26/03/2020,
26/04/2020,
26/05/2020,
26/06/2020,
26/07/2020,
26/08/2020,
26/09/2020,
26/10/2020,
26/11/2020,
26/12/2020,
28/01/2021,1.328
28/01/2021,1.328
26/02/2021,1.349
26/02/2021,1.35
25/03/2021,1.38
25/03/2021,1.38
27/04/2021,1.425
27/04/2021,1.425
05/05/2021,1.438
05/05/2021,1.439
27/06/2021,1.498
26/07/2021,
29/08/2021,1.527
29/08/2021,1.528
27/09/2021,1.536
27/09/2021,1.537
13/10/2021,1.537
29/10/2021,1.542
29/10/2021,1.542
27/11/2021,
15/12/2021,
29/01/2022,
11/02/2022,
10/03/2022,1.58
10/03/2022,1.581
26/03/2022,1.524
26/03/2022,1.521
09/04/2022,1.531
09/04/2022,1.531
30/04/2022,1.561
30/04/2022,1.56
08/05/2022,1.572
08/05/2022,1.571
27/05/2022,1.587
27/05/2022,1.585
11/06/2022,1.594
11/06/2022,1.594
26/06/2022,1.604
26/06/2022,1.602
11/07/2022,1.61
11/07/2022,1.609
31/07/2022,1.618
31/07/2022,1.619
11/08/2022,1.624
11/08/2022,1.623
28/08/2022,1.632
28/08/2022,1.631
11/09/2022,1.639
25/09/2022,1.644
25/09/2022,1.645
12/10/2022,1.652
30/12/2022,
31/01/2023,
31/03/2023,
12/04/2023,1.522
12/05/2023,1.577
26/05/2023,1.606
26/05/2023,1.606
23/06/2023,1.646
23/06/2023,1.645
09/07/2023,1.666
09/07/2023,1.663
27/07/2023,1.68
27/07/2023,1.677
11/08/2023,1.683
11/08/2023,1.681
18/08/2023,1.686
08/09/2023,1.697
08/09/2023,1.697
05/10/2023,1.705
05/10/2023,1.705
30/11/2023,
31/12/2023,
31/01/2024,
29/02/2024,
31/03/2024,
30/04/2024,
24/05/2024,1.784
06/06/2024,1.791
22/06/2024,1.8
13/07/2024,1.815
13/07/2024,1.815
08/08/2024,1.824
23/08/2024,1.83
23/08/2024,1.831
30/09/2024,
11/10/2024,1.845
21/10/2024,1.843
30/11/2024,
