Fecha,Pozo REGLILLA SALADA CONAF
01/01/2005,0.79
01/05/2005,0.78
01/08/2005,0.79
01/10/2005,
01/02/2006,0.785
01/05/2006,0.78
01/07/2006,0.78
01/11/2006,0.785
08/02/2007,0.785
27/04/2007,0.78
26/07/2007,0.78
01/10/2007,0.779
01/02/2008,0.786
01/04/2008,0.78
31/07/2008,0.78
24/10/2008,0.788
01/02/2009,
24/04/2009,0.78
01/07/2009,0.775
01/11/2009,0.788
26/01/2010,0.788
27/04/2010,0.78
23/07/2010,0.775
27/10/2010,0.791
26/01/2011,0.791
27/04/2011,0.79
21/07/2011,0.78
10/11/2011,0.79
30/01/2012,0.797
01/05/2012,0.785
07/08/2012,0.78
24/10/2012,0.79
27/01/2013,0.79
21/04/2013,0.78
01/07/2013,0.79
01/10/2013,0.95
01/01/2014,0.79
01/04/2014,0.84
01/07/2014,0.81
01/10/2014,0.8
01/01/2015,
01/04/2015,0.78
01/07/2015,0.785
01/10/2015,0.79
01/01/2016,
01/04/2016,0.79
27/07/2016,0.82
04/11/2016,
08/02/2017,0.8
01/05/2017,0.88
15/08/2017,0.88
15/10/2017,
23/01/2018,0.89
27/04/2018,0.8
25/10/2018,0.8
26/06/2020,
15/07/2020,
15/08/2020,
15/09/2020,
15/10/2020,
26/11/2020,
26/12/2020,
26/01/2021,
26/02/2021,
26/03/2021,
26/04/2021,
27/05/2021,0.785
26/06/2021,0.787
30/07/2021,0.792
30/07/2021,0.792
29/08/2021,0.79
29/08/2021,0.79
27/09/2021,
13/10/2021,
13/10/2021,
27/11/2021,
15/12/2021,
29/01/2022,
11/02/2022,
26/03/2022,
09/04/2022,0.784
09/04/2022,0.853
28/04/2022,0.785
28/04/2022,0.787
27/05/2022,0.783
27/05/2022,0.782
11/06/2022,0.781
11/06/2022,0.78
25/06/2022,0.784
25/06/2022,0.784
11/07/2022,0.787
11/07/2022,0.787
28/07/2022,0.787
28/07/2022,0.787
11/08/2022,0.785
11/08/2022,0.785
28/08/2022,0.792
28/08/2022,0.791
11/09/2022,0.792
25/09/2022,
31/10/2022,
30/12/2022,
31/01/2023,
31/03/2023,
28/04/2023,0.788
28/04/2023,0.788
14/06/2023,0.783
14/06/2023,0.782
23/06/2023,0.785
23/06/2023,0.786
09/07/2023,0.786
09/07/2023,0.785
27/07/2023,0.788
27/07/2023,0.789
11/08/2023,0.79
11/08/2023,0.789
08/09/2023,
31/10/2023,
30/11/2023,
31/12/2023,
31/01/2024,
29/02/2024,
31/03/2024,
30/04/2024,
24/05/2024,0.793
24/05/2024,0.79
06/06/2024,
22/06/2024,0.785
26/07/2024,
31/08/2024,
30/09/2024,
31/10/2024,
30/11/2024,
