Fecha,Pozo REGLILLA INTERNA CONAF
01/01/2005,0.875
01/05/2005,0.87
01/08/2005,
01/10/2005,0.9
01/02/2006,0.92
01/05/2006,0.92
01/07/2006,0.919
01/11/2006,0.917
08/02/2007,0.935
27/04/2007,0.925
26/07/2007,0.932
01/10/2007,0.95
01/02/2008,0.955
01/04/2008,0.94
31/07/2008,0.94
24/10/2008,0.94
01/02/2009,
24/04/2009,0.952
01/07/2009,0.941
01/11/2009,0.943
26/01/2010,0.958
27/04/2010,0.952
23/07/2010,0.95
27/10/2010,0.955
26/01/2011,1.0
27/04/2011,1.0
21/07/2011,0.96
10/11/2011,1.0
30/01/2012,0.9
01/05/2012,1.0
07/08/2012,1.0
24/10/2012,0.96
27/01/2013,0.96
19/04/2013,0.96
01/07/2013,0.96
01/10/2013,1.0
01/01/2014,0.95
01/04/2014,
01/07/2014,0.96
01/10/2014,0.93
01/01/2015,0.96
01/04/2015,0.96
01/01/2016,
01/04/2016,
27/07/2016,
04/11/2016,
08/02/2017,
01/05/2017,
15/08/2017,
15/10/2017,
23/01/2018,
27/04/2018,
25/10/2018,
26/06/2020,
15/07/2020,
15/08/2020,
15/09/2020,
15/10/2020,
26/11/2020,
26/12/2020,
26/01/2021,
26/02/2021,
26/03/2021,
26/04/2021,
26/05/2021,
26/06/2021,
30/07/2021,
29/08/2021,
27/09/2021,
13/10/2021,
13/10/2021,
29/10/2021,
29/10/2021,
27/11/2021,
15/12/2021,
29/01/2022,
11/02/2022,
26/03/2022,
09/04/2022,
09/04/2022,
28/04/2022,
27/05/2022,
27/05/2022,
11/06/2022,
25/06/2022,
25/06/2022,
11/07/2022,
11/07/2022,
28/07/2022,
28/07/2022,
18/08/2022,
18/08/2022,
28/08/2022,
28/08/2022,
28/08/2022,
11/09/2022,
25/09/2022,
25/09/2022,
12/10/2022,
30/12/2022,
31/01/2023,
31/03/2023,
28/04/2023,
28/04/2023,
12/05/2023,
14/06/2023,
14/06/2023,
23/06/2023,
23/06/2023,
09/07/2023,
09/07/2023,
27/07/2023,
27/07/2023,
11/08/2023,
25/08/2023,
08/09/2023,
05/10/2023,
05/10/2023,
29/10/2023,
29/10/2023,
30/11/2023,
31/12/2023,
31/01/2024,
29/02/2024,
31/03/2024,
30/04/2024,
24/05/2024,
06/06/2024,
06/06/2024,
22/06/2024,
13/07/2024,
13/07/2024,
26/07/2024,
31/08/2024,
30/09/2024,
31/10/2024,
30/11/2024,
